split,threshold,precision,recall
val_cc,0.999967,1.000000,0.234507
val_cc,0.999966,1.000000,0.235125
val_cc,0.999966,1.000000,0.235536
val_cc,0.999966,1.000000,0.235742
val_cc,0.999966,1.000000,0.235948
val_cc,0.999966,1.000000,0.236566
val_cc,0.999966,1.000000,0.237183
val_cc,0.999966,1.000000,0.237389
val_cc,0.999966,1.000000,0.238007
val_cc,0.999965,1.000000,0.238213
val_cc,0.999965,1.000000,0.239242
val_cc,0.999965,1.000000,0.240478
val_cc,0.999965,1.000000,0.240684
val_cc,0.999965,1.000000,0.241919
val_cc,0.999965,1.000000,0.242537
val_cc,0.999965,1.000000,0.242742
val_cc,0.999965,1.000000,0.243154
val_cc,0.999964,1.000000,0.243566
val_cc,0.999964,1.000000,0.243772
val_cc,0.999964,1.000000,0.243978
val_cc,0.999964,1.000000,0.244595
val_cc,0.999964,1.000000,0.244801
val_cc,0.999964,1.000000,0.245213
val_cc,0.999964,1.000000,0.245419
val_cc,0.999963,1.000000,0.245625
val_cc,0.999963,1.000000,0.246037
val_cc,0.999963,1.000000,0.246860
val_cc,0.999963,1.000000,0.247890
val_cc,0.999963,1.000000,0.248096
val_cc,0.999963,1.000000,0.248301
val_cc,0.999963,1.000000,0.248507
